ID,CISControlID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,Namespace,Property,ClassName,DefaultValue,RecommendedValue,Operator,Severity,ControlProfile,AutoRemediate,RequiresReboot,SystemImpact,UserImpact,RollbackComplexity,BusinessJustification
SHA001,4.1,Account Policies,Length of password history maintained,accountpolicy,,,,,,,None,24,>=,Low,All,Yes,No,1,1,2,Prevent password reuse
SHA002,4.1,Account Policies,Maximum password age,accountpolicy,,,,,,,42,365,<=!0,Low,All,Yes,No,1,1,2,Force regular password changes
SHA003,4.1,Account Policies,Minimum password age,accountpolicy,,,,,,,0,1,>=,Low,All,Yes,No,1,1,2,Prevent rapid password changes
SHA004,4.1,Account Policies,Minimum password length,accountpolicy,,,,,,,0,14,>=,Medium,All,Yes,No,3,6,3,Ensure strong password length
SHA005,4.1,Account Policies,Password must meet complexity requirements,secedit,System Access\PasswordComplexity,,,,,,0,1,=,Medium,All,Yes,No,3,6,3,Enforce password complexity
SHA006,4.1,Account Policies,Relax minimum password length limits,Registry,,HKLM:\System\CurrentControlSet\Control\SAM,RelaxMinimumPasswordLengthLimits,,,,0,1,=,Medium,All,Yes,No,3,6,3,Support longer passwords
SHA007,3.11,Account Policies,Store passwords using reversible encryption,secedit,System Access\ClearTextPassword,,,,,,0,0,=,High,All,Yes,No,7,2,3,Prevent clear text password storage
SHA008,4.1,Account Policies,Account lockout duration,accountpolicy,,,,,,,30,15,>=,Low,All,Yes,No,1,1,2,Account lockout protection
SHA009,4.1,Account Policies,Account lockout threshold,accountpolicy,,,,,,,Never,5,<=!0,Low,All,Yes,No,1,1,2,Prevent brute force attacks
SHA010,4.1,Account Policies,Allow Administrator account lockout,secedit,System Access\AllowAdministratorLockout,,,,,,1,1,=,Medium,All,Yes,No,1,1,2,Include admin in lockout policy
SHA011,4.1,Account Policies,Reset account lockout counter,accountpolicy,,,,,,,30,15,>=,Low,All,Yes,No,1,1,2,Reset lockout counter timing
SHA012,5.1,Security Options,Accounts: Block Microsoft accounts,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,,,,0,3,=,Low,All,Yes,No,1,1,2,Prevent cloud account risks
SHA013,4.1,Security Options,Accounts: Guest account status,localaccount,501,,,,,,FALSE,FALSE,=,Medium,All,Yes,No,5,2,3,Disable guest account
SHA014,4.1,Security Options,Accounts: Limit local account use of blank passwords to console logon only,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,,,,1,1,=,Medium,All,Yes,No,3,2,2,Prevent network blank passwords
SHA015,4.1,Security Options,Accounts: Rename administrator account,localaccount,500,,,,,,Administrator,Administrator,!=,Low,All,No,No,5,3,4,Obscure default admin account
SHA016,4.1,Security Options,Accounts: Rename guest account,localaccount,501,,,,,,Guest,Guest,!=,Low,All,No,No,5,3,4,Obscure default guest account
SHA017,8.2,Security Options,Audit: Force audit policy subcategory settings to override audit policy category settings,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,SCENoApplyLegacyAuditPolicy,,,,1,1,=,Low,All,Yes,No,1,1,2,Enable advanced audit policies
SHA018,4.3,Security Options,Interactive logon: Do not require CTRL+ALT+DEL,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DisableCAD,,,,1,0,=,Low,All,Yes,No,5,4,3,Secure logon sequence
SHA019,4.3,Security Options,Interactive logon: Don't display last signed-in,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLastUserName,,,,0,1,=,Low,All,Yes,No,1,1,2,Prevent username enumeration
SHA020,4.3,Security Options,Interactive logon: Machine inactivity limit,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,InactivityTimeoutSecs,,,,900,900,<=!0,Medium,All,Yes,No,3,4,2,Auto-lock inactive sessions
SHA021,4.3,Security Options,Interactive logon: Number of previous logons to cache,Registry,,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,CachedLogonsCount,,,,10,4,<=,Medium,All,Yes,No,3,2,2,Limit cached credentials
SHA022,4.3,Security Options,Interactive logon: Smart card removal behavior,Registry,,HKLM:\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ScRemoveOption,,,,0,1,=,Low,All,Yes,No,1,1,2,Lock on smart card removal
SHA023,4.1,Security Options,Microsoft network client: Digitally sign communications (always),Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,RequireSecuritySignature,,,,0,1,=,Medium,All,Yes,No,1,1,2,Require SMB signing client
SHA024,4.1,Security Options,Microsoft network client: Digitally sign communications (if server agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnableSecuritySignature,,,,1,1,=,Medium,All,Yes,No,1,1,2,Enable SMB signing client
SHA025,4.1,Security Options,Microsoft network client: Send unencrypted password to third-party SMB servers,Registry,,HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnablePlainTextPassword,,,,0,0,=,Medium,All,Yes,No,1,1,2,Prevent plaintext SMB passwords
SHA026,4.1,Security Options,Microsoft network server: Amount of idle time required before suspending session,Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters,AutoDisconnect,,,,15,15,<=,Medium,Server,Yes,No,3,2,2,Auto-disconnect idle SMB sessions
SHA027,4.1,Security Options,Microsoft network server: Digitally sign communications (always),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,RequireSecuritySignature,,,,0,1,=,Medium,Server,Yes,No,1,1,2,Require SMB signing server
SHA028,4.1,Security Options,Microsoft network server: Digitally sign communications (if client agrees),Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,EnableSecuritySignature,,,,0,1,=,Medium,Server,Yes,No,1,1,2,Enable SMB signing server
SHA029,4.1,Security Options,Network access: Do not allow anonymous enumeration of SAM accounts,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictAnonymousSAM,,,,1,1,=,Medium,All,Yes,No,1,1,2,Prevent SAM enumeration
SHA030,4.1,Security Options,Network access: Do not allow anonymous enumeration of SAM accounts and shares,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictAnonymous,,,,0,1,=,Medium,All,Yes,No,1,1,2,Prevent anonymous enumeration
SHA031,5.2,Security Options,Network access: Do not allow storage of passwords and credentials for network authentication,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,DisableDomainCreds,,,,0,1,=,Medium,All,Yes,No,1,1,2,Prevent credential storage
SHA032,4.1,Security Options,Network access: Let Everyone permissions apply to anonymous users,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,EveryoneIncludesAnonymous,,,,0,0,=,Medium,All,Yes,No,1,1,2,Separate anonymous and Everyone
SHA033,4.1,Security Options,Network access: Restrict anonymous access to Named Pipes and Shares,Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,RestrictNullSessAccess,,,,1,1,=,Medium,All,Yes,No,1,1,2,Restrict anonymous access
